date,bidopen,bidclose,bidhigh,bidlow,tickqty,bid_hl,bid_co
2019-03-28 15:00:00,110.661,110.548,110.698,110.524,22366,0.17399999999999238,-0.11299999999999955
2019-03-28 16:00:00,110.548,110.609,110.672,110.539,16598,0.13299999999999557,0.06099999999999284
2019-03-28 17:00:00,110.609,110.562,110.659,110.531,11704,0.1280000000000001,-0.046999999999997044
2019-03-28 18:00:00,110.562,110.566,110.606,110.527,8689,0.07899999999999352,0.0040000000000048885
2019-03-28 19:00:00,110.566,110.572,110.625,110.563,8052,0.06199999999999761,0.006000000000000227
2019-03-28 20:00:00,110.572,110.609,110.696,110.568,2842,0.1280000000000001,0.03699999999999193
2019-03-28 21:00:00,110.609,110.626,110.657,110.577,6836,0.0799999999999983,0.017000000000010118
2019-03-28 22:00:00,110.626,110.65,110.663,110.609,2722,0.054000000000002046,0.02400000000000091
2019-03-28 23:00:00,110.65,110.626,110.708,110.607,6534,0.10099999999999909,-0.02400000000000091
2019-03-29 00:00:00,110.626,110.843,110.925,110.527,19228,0.39799999999999613,0.21699999999999875
2019-03-29 01:00:00,110.843,110.746,110.886,110.734,11489,0.15200000000000102,-0.09700000000000841
2019-03-29 02:00:00,110.746,110.761,110.793,110.739,7740,0.054000000000002046,0.015000000000000568
2019-03-29 03:00:00,110.761,110.722,110.79,110.709,4718,0.08100000000000307,-0.03900000000000148
2019-03-29 04:00:00,110.722,110.749,110.898,110.655,9508,0.242999999999995,0.027000000000001023
2019-03-29 05:00:00,110.749,110.738,110.78,110.68,8129,0.09999999999999432,-0.01099999999999568
2019-03-29 06:00:00,110.738,110.585,110.757,110.582,10505,0.17500000000001137,-0.1530000000000058
2019-03-29 07:00:00,110.585,110.736,110.756,110.547,10600,0.20900000000000318,0.15100000000001046
2019-03-29 08:00:00,110.736,110.753,110.841,110.688,13298,0.1529999999999916,0.016999999999995907
2019-03-29 09:00:00,110.753,110.792,110.81,110.749,9044,0.06100000000000705,0.03900000000000148
2019-03-29 10:00:00,110.792,110.777,110.806,110.714,8989,0.09199999999999875,-0.015000000000000568
2019-03-29 11:00:00,110.777,110.749,110.889,110.71,10437,0.17900000000000205,-0.028000000000005798
2019-03-29 12:00:00,110.749,110.804,110.811,110.63,13940,0.1810000000000116,0.05500000000000682
2019-03-29 13:00:00,110.804,110.739,110.844,110.725,15742,0.11899999999999977,-0.06499999999999773
2019-03-29 14:00:00,110.739,110.849,110.902,110.737,23894,0.16500000000000625,0.10999999999999943
2019-03-29 15:00:00,110.849,110.673,110.943,110.635,20493,0.3079999999999927,-0.17600000000000193
2019-03-29 16:00:00,110.673,110.818,110.821,110.666,14395,0.15500000000000114,0.14499999999999602
2019-03-29 17:00:00,110.818,110.764,110.837,110.714,7972,0.12300000000000466,-0.054000000000002046
2019-03-29 18:00:00,110.764,110.805,110.851,110.756,7671,0.09499999999999886,0.04100000000001103
2019-03-29 19:00:00,110.805,110.806,110.843,110.777,7831,0.0660000000000025,0.000999999999990564
2019-03-29 20:00:00,110.806,110.847,110.857,110.798,4645,0.0589999999999975,0.04099999999999682
2019-03-31 18:00:00,110.847,110.954,110.993,110.923,193,0.06999999999999318,0.10699999999999932
2019-03-31 19:00:00,110.954,111.007,111.018,110.94,215,0.07800000000000296,0.05300000000001148
2019-03-31 20:00:00,111.007,111.013,111.091,110.987,321,0.1039999999999992,0.006000000000000227
2019-03-31 21:00:00,111.013,110.932,111.041,110.878,1320,0.1629999999999967,-0.08100000000000307
2019-03-31 22:00:00,110.932,110.936,110.983,110.897,7250,0.08599999999999852,0.0040000000000048885
2019-03-31 23:00:00,110.936,110.982,110.995,110.869,10756,0.12600000000000477,0.04599999999999227
2019-04-01 00:00:00,110.982,111.075,111.08,110.955,14499,0.125,0.09300000000000352
2019-04-01 01:00:00,111.075,111.145,111.175,111.04,11333,0.1349999999999909,0.06999999999999318
2019-04-01 02:00:00,111.145,111.118,111.179,111.097,9539,0.08200000000000784,-0.027000000000001023
2019-04-01 03:00:00,111.118,111.076,111.12,111.039,7841,0.08100000000000307,-0.04200000000000159
2019-04-01 04:00:00,111.076,111.01,111.076,111.003,7236,0.07299999999999329,-0.06599999999998829
2019-04-01 05:00:00,111.01,111.038,111.053,110.99,8059,0.06300000000000239,0.027999999999991587
2019-04-01 06:00:00,111.038,111.061,111.138,111.017,13193,0.12100000000000932,0.023000000000010346
2019-04-01 07:00:00,111.061,111.04,111.111,110.994,12344,0.11700000000000443,-0.021000000000000796
2019-04-01 08:00:00,111.04,111.005,111.072,110.995,9187,0.07699999999999818,-0.0350000000000108
2019-04-01 09:00:00,111.005,110.991,111.032,110.95,8078,0.08199999999999363,-0.013999999999995794
2019-04-01 10:00:00,110.991,110.948,111.039,110.945,6621,0.0940000000000083,-0.043000000000006366
2019-04-01 11:00:00,110.948,110.981,110.997,110.942,4865,0.05500000000000682,0.03300000000000125
2019-04-01 12:00:00,110.981,110.932,110.995,110.796,16311,0.19899999999999807,-0.04899999999999238
2019-04-01 13:00:00,110.932,110.917,110.951,110.862,15000,0.08899999999999864,-0.015000000000000568
2019-04-01 14:00:00,110.917,111.191,111.229,110.919,25238,0.3100000000000023,0.2740000000000009
2019-04-01 15:00:00,111.191,111.291,111.312,111.175,11687,0.13700000000000045,0.09999999999999432
2019-04-01 16:00:00,111.291,111.417,111.438,111.285,8399,0.1530000000000058,0.12600000000000477
2019-04-01 17:00:00,111.417,111.373,111.427,111.35,5985,0.07700000000001239,-0.04399999999999693
2019-04-01 18:00:00,111.373,111.37,111.4,111.345,4531,0.05500000000000682,-0.0030000000000001137
2019-04-01 19:00:00,111.37,111.346,111.375,111.326,5747,0.049000000000006594,-0.02400000000000091
2019-04-01 20:00:00,111.346,111.337,111.383,111.316,6147,0.06699999999999307,-0.009000000000000341
2019-04-01 21:00:00,111.337,111.401,111.435,111.307,7587,0.1280000000000001,0.06399999999999295
2019-04-01 22:00:00,111.401,111.397,111.402,111.34,3541,0.06199999999999761,-0.003999999999990678
2019-04-01 23:00:00,111.397,111.443,111.45,111.383,4753,0.06700000000000728,0.04599999999999227
2019-04-02 00:00:00,111.443,111.383,111.444,111.314,10707,0.13000000000000966,-0.060000000000002274
2019-04-02 01:00:00,111.383,111.334,111.392,111.291,6484,0.10099999999999909,-0.04899999999999238
2019-04-02 02:00:00,111.334,111.328,111.336,111.283,4679,0.05299999999999727,-0.006000000000000227
2019-04-02 03:00:00,111.328,111.35,111.393,111.312,5784,0.08100000000000307,0.02199999999999136
2019-04-02 04:00:00,111.35,111.34,111.396,111.33,4015,0.0660000000000025,-0.009999999999990905
2019-04-02 05:00:00,111.34,111.337,111.385,111.32,5091,0.06500000000001194,-0.0030000000000001137
2019-04-02 06:00:00,111.337,111.368,111.371,111.279,7161,0.09199999999999875,0.0309999999999917
2019-04-02 07:00:00,111.368,111.364,111.415,111.35,8156,0.06500000000001194,-0.003999999999990678
2019-04-02 08:00:00,111.364,111.385,111.391,111.338,4948,0.05300000000001148,0.021000000000000796
2019-04-02 09:00:00,111.385,111.352,111.395,111.301,7295,0.09399999999999409,-0.03300000000000125
2019-04-02 10:00:00,111.352,111.35,111.374,111.315,5598,0.0589999999999975,-0.0020000000000095497
2019-04-02 11:00:00,111.35,111.359,111.381,111.286,7246,0.09499999999999886,0.009000000000000341
2019-04-02 12:00:00,111.359,111.367,111.379,111.309,11154,0.07000000000000739,0.008000000000009777
2019-04-02 13:00:00,111.367,111.374,111.395,111.294,10323,0.10099999999999909,0.006999999999990791
2019-04-02 14:00:00,111.374,111.297,111.426,111.287,11890,0.1389999999999958,-0.07699999999999818
2019-04-02 15:00:00,111.297,111.325,111.336,111.242,10641,0.09399999999999409,0.028000000000005798
2019-04-02 16:00:00,111.325,111.346,111.384,111.313,7719,0.07099999999999795,0.021000000000000796
2019-04-02 17:00:00,111.346,111.352,111.39,111.311,9993,0.07899999999999352,0.006000000000000227
2019-04-02 18:00:00,111.352,111.376,111.384,111.328,5964,0.055999999999997385,0.02400000000000091
2019-04-02 19:00:00,111.376,111.364,111.392,111.36,4994,0.031999999999996476,-0.012000000000000455
2019-04-02 20:00:00,111.364,111.312,111.366,111.3,4055,0.0660000000000025,-0.05200000000000671
2019-04-02 21:00:00,111.312,111.319,111.349,111.29,21201,0.0589999999999975,0.007000000000005002
2019-04-02 22:00:00,111.319,111.325,111.342,111.313,1509,0.028999999999996362,0.006000000000000227
2019-04-02 23:00:00,111.325,111.303,111.341,111.298,3518,0.042999999999992156,-0.02200000000000557
2019-04-03 00:00:00,111.303,111.469,111.512,111.202,18850,0.3100000000000023,0.16599999999999682
2019-04-03 01:00:00,111.469,111.451,111.524,111.389,12192,0.13500000000000512,-0.018000000000000682
2019-04-03 02:00:00,111.451,111.491,111.509,111.438,6553,0.07099999999999795,0.04000000000000625
2019-04-03 03:00:00,111.491,111.472,111.496,111.454,3432,0.04200000000000159,-0.019000000000005457
2019-04-03 04:00:00,111.472,111.354,111.496,111.35,6660,0.1460000000000008,-0.117999999999995
2019-04-03 05:00:00,111.354,111.379,111.415,111.354,7642,0.06100000000000705,0.025000000000005684
2019-04-03 06:00:00,111.379,111.506,111.553,111.378,12292,0.17499999999999716,0.12699999999999534
2019-04-03 07:00:00,111.506,111.509,111.573,111.486,14348,0.08699999999998909,0.0030000000000001137
2019-04-03 08:00:00,111.509,111.501,111.561,111.483,7113,0.07800000000000296,-0.007999999999995566
2019-04-03 09:00:00,111.501,111.465,111.515,111.445,6333,0.07000000000000739,-0.036000000000001364
